epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.56958,1.82127,3.0676,1.82301,0.03074,0.54967,0.03187,0.01283,1.79243,3.12252,2.08421,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,11.7999,1.84517,3.10741,1.80249,0.03,0.53642,0.03254,0.01358,1.74803,3.09658,2.01855,0.00029703,9.901e-05,0.00029703,9.901e-05,0.00029703,9.901e-05,0.00029703,9.901e-05
3,17.1944,1.80314,3.09213,1.78062,0.03111,0.55629,0.03897,0.01724,1.67173,3.05104,1.92807,0.000470496,0.000156832,0.000470496,0.000156832,0.000470496,0.000156832,0.000470496,0.000156832
4,22.5322,1.74833,3.11222,1.73811,0.03259,0.58278,0.04357,0.021,1.56778,2.99424,1.81065,0.000640398,0.000213466,0.000640398,0.000213466,0.000640398,0.000213466,0.000640398,0.000213466
5,27.9145,1.68678,3.05073,1.68859,0.03444,0.61589,0.06665,0.02906,1.42895,2.92548,1.66994,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912
6,33.2218,1.57936,3.03541,1.60701,0.03444,0.61589,0.08485,0.0384,1.32155,2.87595,1.56942,0.00096951,0.00032317,0.00096951,0.00032317,0.00096951,0.00032317,0.00096951,0.00032317
7,38.4431,1.51845,2.97645,1.5856,0.03481,0.62252,0.13122,0.06814,1.25797,2.82202,1.48464,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624
8,43.8331,1.41958,2.92588,1.50029,0.03444,0.61589,0.15414,0.08748,1.21389,2.79358,1.44912,0.00128437,0.000428122,0.00128437,0.000428122,0.00128437,0.000428122,0.00128437,0.000428122
9,49.2559,1.40399,2.90598,1.4471,0.03667,0.65563,0.22529,0.13544,1.14286,2.74991,1.37683,0.00143645,0.000478816,0.00143645,0.000478816,0.00143645,0.000478816,0.00143645,0.000478816
10,54.5377,1.36507,2.85528,1.42836,0.03704,0.66225,0.26832,0.15417,1.11116,2.73422,1.342,0.00158497,0.000528322,0.00158497,0.000528322,0.00158497,0.000528322,0.00158497,0.000528322
11,59.9034,1.26911,2.7906,1.34045,0.03963,0.70861,0.32522,0.20334,1.10197,2.70388,1.30661,0.00172992,0.00057664,0.00172992,0.00057664,0.00172992,0.00057664,0.00172992,0.00057664
12,65.1004,1.28377,2.76018,1.35329,0.04148,0.74172,0.38342,0.22199,1.11021,2.68953,1.29638,0.00187131,0.00062377,0.00187131,0.00062377,0.00187131,0.00062377,0.00187131,0.00062377
13,70.3655,1.18632,2.68194,1.29682,0.04296,0.76821,0.40411,0.24857,1.10075,2.66643,1.2728,0.00200914,0.000669712,0.00200914,0.000669712,0.00200914,0.000669712,0.00200914,0.000669712
14,75.3426,1.25621,2.68568,1.31256,0.0437,0.78146,0.4278,0.26174,1.09463,2.65701,1.26629,0.0021434,0.000714466,0.0021434,0.000714466,0.0021434,0.000714466,0.0021434,0.000714466
15,80.5891,1.17818,2.61514,1.26586,0.0437,0.78146,0.43636,0.27041,1.10981,2.6502,1.26571,0.0022741,0.000758032,0.0022741,0.000758032,0.0022741,0.000758032,0.0022741,0.000758032
16,85.9081,1.17145,2.57651,1.24819,0.04444,0.7947,0.45433,0.27481,1.12363,2.64483,1.26734,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041
17,91.2928,1.08936,2.43829,1.19753,0.04481,0.80132,0.46843,0.29057,1.12224,2.60644,1.24777,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,96.6131,1.02274,2.29952,1.17047,0.04519,0.80795,0.47979,0.2975,1.1053,2.58776,1.2352,0.00264481,0.000881602,0.00264481,0.000881602,0.00264481,0.000881602,0.00264481,0.000881602
19,102.04,1.07743,2.25106,1.20401,0.04593,0.82119,0.49461,0.31154,1.09816,2.56641,1.22676,0.00276125,0.000920416,0.00276125,0.000920416,0.00276125,0.000920416,0.00276125,0.000920416
20,107.348,0.99034,2.12901,1.13672,0.04704,0.84106,0.49404,0.32397,1.0882,2.53811,1.22286,0.00287413,0.000958042,0.00287413,0.000958042,0.00287413,0.000958042,0.00287413,0.000958042
21,112.677,1.05474,2.11535,1.18507,0.04778,0.8543,0.51303,0.33479,1.08523,2.50283,1.21945,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448
22,118.09,1.03524,1.99389,1.16173,0.04778,0.8543,0.55234,0.35401,1.07953,2.44988,1.21632,0.00308919,0.00102973,0.00308919,0.00102973,0.00308919,0.00102973,0.00308919,0.00102973
23,123.425,1.00219,1.89185,1.15495,0.04778,0.8543,0.56387,0.36707,1.06908,2.38178,1.20155,0.00319138,0.00106379,0.00319138,0.00106379,0.00319138,0.00106379,0.00319138,0.00106379
24,128.676,1.02323,1.73687,1.16034,0.70398,0.5894,0.59758,0.38319,1.06137,2.32644,1.19975,0.00329,0.00109667,0.00329,0.00109667,0.00329,0.00109667,0.00329,0.00109667
25,134.151,1.01415,1.67986,1.14849,0.93193,0.18139,0.62635,0.39587,1.06291,2.2544,1.19864,0.00338506,0.00112835,0.00338506,0.00112835,0.00338506,0.00112835,0.00338506,0.00112835
26,139.605,1.0587,1.59032,1.1705,0.91078,0.20285,0.63737,0.4056,1.04151,2.15589,1.1816,0.00347655,0.00115885,0.00347655,0.00115885,0.00347655,0.00115885,0.00347655,0.00115885
27,144.943,1.04095,1.49739,1.17251,0.8657,0.38421,0.63574,0.4067,1.04029,2.05909,1.17651,0.00356448,0.00118816,0.00356448,0.00118816,0.00356448,0.00118816,0.00356448,0.00118816
28,150.218,1.01519,1.3886,1.14891,0.81819,0.50331,0.64396,0.42023,1.03705,1.93875,1.17219,0.00364885,0.00121628,0.00364885,0.00121628,0.00364885,0.00121628,0.00364885,0.00121628
29,155.385,0.91854,1.28057,1.11257,0.81819,0.50331,0.64396,0.42023,1.03705,1.93875,1.17219,0.00372965,0.00124322,0.00372965,0.00124322,0.00372965,0.00124322,0.00372965,0.00124322
