epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.8711,1.97665,2.83609,2.05102,0.02515,0.70339,0.05237,0.01951,1.7919,2.9522,2.09462,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05
2,34.1801,2.11529,2.82605,2.16934,0.02667,0.74576,0.05659,0.0241,1.75098,2.93716,2.05392,0.000415842,0.000138614,0.000415842,0.000138614,0.000415842,0.000138614,0.000415842,0.000138614
3,59.108,2.09952,2.89427,2.06522,0.02788,0.77966,0.07807,0.0308,1.74486,2.92819,2.03896,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
4,82.4395,2.05857,2.89344,2.03231,0.02879,0.80508,0.09466,0.0406,1.73503,2.90176,2.0049,0.00087327,0.00029109,0.00087327,0.00029109,0.00087327,0.00029109,0.00087327,0.00029109
5,107.907,1.99181,2.88816,1.95597,0.02818,0.78814,0.10712,0.04965,1.72091,2.88124,1.96842,0.00109486,0.000364952,0.00109486,0.000364952,0.00109486,0.000364952,0.00109486,0.000364952
6,133.701,1.97795,2.85042,1.96298,0.02818,0.78814,0.10884,0.05297,1.70156,2.84065,1.90232,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723
7,159.596,1.81109,2.77415,1.93221,0.0297,0.83051,0.15173,0.06774,1.68033,2.80423,1.85074,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924
8,186.656,1.86727,2.80703,1.8958,0.03,0.83898,0.18339,0.08386,1.63624,2.77433,1.7922,0.0017311,0.000577034,0.0017311,0.000577034,0.0017311,0.000577034,0.0017311,0.000577034
9,212.055,1.75807,2.72354,1.86489,0.02939,0.82203,0.2711,0.12277,1.62027,2.74041,1.73443,0.00193368,0.00064456,0.00193368,0.00064456,0.00193368,0.00064456,0.00193368,0.00064456
10,238.84,1.66759,2.74054,1.74514,0.03091,0.86441,0.38595,0.18336,1.61475,2.68478,1.67158,0.00213151,0.000710502,0.00213151,0.000710502,0.00213151,0.000710502,0.00213151,0.000710502
11,264.566,1.74282,2.68746,1.72224,0.03091,0.86441,0.45338,0.22755,1.59422,2.65869,1.6307,0.00232458,0.00077486,0.00232458,0.00077486,0.00232458,0.00077486,0.00232458,0.00077486
12,289.183,1.65292,2.62492,1.7446,0.03273,0.91525,0.51944,0.25868,1.58405,2.62934,1.60286,0.0025129,0.000837634,0.0025129,0.000837634,0.0025129,0.000837634,0.0025129,0.000837634
13,314.691,1.58527,2.52212,1.66992,0.03364,0.94068,0.52635,0.27832,1.57251,2.59193,1.55911,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824
14,340.924,1.60365,2.48225,1.68711,0.03424,0.95763,0.55496,0.28929,1.56255,2.57901,1.5384,0.00287529,0.00095843,0.00287529,0.00095843,0.00287529,0.00095843,0.00287529,0.00095843
15,366.541,1.62867,2.46681,1.67811,0.03424,0.95763,0.56647,0.30577,1.56191,2.53961,1.51709,0.00304936,0.00101645,0.00304936,0.00101645,0.00304936,0.00101645,0.00304936,0.00101645
16,394.172,1.55528,2.40917,1.55393,0.03424,0.95763,0.59048,0.3183,1.55924,2.51464,1.50351,0.00321867,0.00107289,0.00321867,0.00107289,0.00321867,0.00107289,0.00321867,0.00107289
17,418.084,1.57797,2.32164,1.61242,0.03424,0.95763,0.61333,0.33079,1.54031,2.47608,1.48053,0.00338323,0.00112774,0.00338323,0.00112774,0.00338323,0.00112774,0.00338323,0.00112774
18,442.197,1.55265,2.22904,1.61595,0.03424,0.95763,0.63844,0.35005,1.54269,2.4029,1.46705,0.00354304,0.00118101,0.00354304,0.00118101,0.00354304,0.00118101,0.00354304,0.00118101
19,458.729,1.55801,2.15837,1.59163,0.15715,0.75424,0.67277,0.35965,1.53747,2.36423,1.4679,0.0036981,0.0012327,0.0036981,0.0012327,0.0036981,0.0012327,0.0036981,0.0012327
20,475.605,1.5858,2.04976,1.61112,1,0.24517,0.70557,0.37171,1.54186,2.30296,1.46757,0.00384841,0.0012828,0.00384841,0.0012828,0.00384841,0.0012828,0.00384841,0.0012828
21,489.25,1.53475,1.88951,1.58624,0.9755,0.33752,0.74488,0.38939,1.57113,2.14912,1.49016,0.00399396,0.00133132,0.00399396,0.00133132,0.00399396,0.00133132,0.00399396,0.00133132
22,502.343,1.50833,1.81494,1.52206,0.93852,0.51744,0.7704,0.38874,1.57922,2.0066,1.49182,0.00413476,0.00137825,0.00413476,0.00137825,0.00413476,0.00137825,0.00413476,0.00137825
23,515.147,1.56191,1.78953,1.57998,0.877,0.60427,0.77395,0.38937,1.5937,1.85962,1.49331,0.00427081,0.0014236,0.00427081,0.0014236,0.00427081,0.0014236,0.00427081,0.0014236
24,527.789,1.52463,1.6204,1.53255,0.85915,0.67797,0.78785,0.40082,1.57776,1.72189,1.47814,0.00440211,0.00146737,0.00440211,0.00146737,0.00440211,0.00146737,0.00440211,0.00146737
25,540.601,1.59226,1.57547,1.5482,0.85779,0.70339,0.81596,0.42529,1.59517,1.56606,1.49158,0.00452866,0.00150955,0.00452866,0.00150955,0.00452866,0.00150955,0.00452866,0.00150955
26,554.015,1.5831,1.49923,1.59977,0.83182,0.73729,0.83201,0.43363,1.60867,1.46619,1.51268,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,572.844,1.55266,1.41432,1.54772,0.86164,0.73729,0.84194,0.44597,1.62162,1.38533,1.52545,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,596.711,1.45015,1.29604,1.48266,0.85235,0.77966,0.85888,0.45801,1.60001,1.29603,1.51015,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,620.187,1.51749,1.25869,1.5162,0.86872,0.78511,0.86957,0.46259,1.61663,1.23286,1.52208,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,645.501,1.39873,1.27542,1.47353,0.91373,0.80783,0.89299,0.4744,1.60082,1.19079,1.51544,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,670.841,1.54255,1.33758,1.54048,0.88424,0.83898,0.90082,0.4849,1.57497,1.16574,1.50083,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,695.489,1.4147,1.21567,1.48189,0.89963,0.83557,0.91611,0.50028,1.54783,1.13489,1.48332,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,720.606,1.42419,1.13043,1.50326,0.93785,0.80508,0.91674,0.51158,1.53054,1.12163,1.47067,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,744.871,1.43804,1.22804,1.52554,0.92328,0.81586,0.91564,0.5167,1.53081,1.11625,1.47064,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,770.285,1.39724,1.19365,1.46116,0.8854,0.85119,0.91838,0.51204,1.51024,1.1132,1.46359,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,796.057,1.51203,1.33778,1.5665,0.89218,0.84153,0.91617,0.51703,1.5254,1.11166,1.46982,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,822.043,1.42019,1.18846,1.48125,0.93822,0.77214,0.9042,0.50279,1.56342,1.11928,1.49243,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,846.865,1.35093,1.10872,1.42147,0.89864,0.83051,0.91076,0.50642,1.56014,1.10366,1.48332,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,872.637,1.47761,1.17625,1.50817,0.92035,0.80508,0.91619,0.51149,1.51749,1.07441,1.4575,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,899.136,1.36408,1.11683,1.40723,0.89928,0.81356,0.91386,0.5164,1.5257,1.07138,1.46176,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,924.898,1.34269,1.06002,1.40234,0.89606,0.82203,0.91477,0.5139,1.53668,1.09018,1.47339,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,949.836,1.25969,1.23353,1.41794,0.85682,0.87288,0.92179,0.51401,1.53945,1.09868,1.47239,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,976.517,1.38212,1.10175,1.4297,0.90736,0.83004,0.92601,0.52114,1.52202,1.07489,1.45209,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,1000.05,1.31688,1.04989,1.36945,0.85812,0.87288,0.91741,0.53188,1.52318,1.08354,1.45324,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1022.86,1.31751,1.05543,1.3555,0.84769,0.87288,0.9185,0.51443,1.53169,1.0848,1.46281,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,1046.27,1.29878,1.13848,1.41498,0.87069,0.85592,0.91067,0.49697,1.56416,1.10279,1.48872,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,1068.77,1.4247,1.2442,1.54128,0.87691,0.84746,0.91149,0.49678,1.56375,1.10013,1.4869,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,1092.84,1.34439,1.03363,1.34738,0.87123,0.83051,0.90762,0.50518,1.54785,1.07786,1.47016,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,1118.81,1.26418,0.98193,1.32711,0.87137,0.83898,0.91213,0.51145,1.53058,1.05126,1.45752,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,1144.7,1.30643,1.01188,1.3787,0.85933,0.84746,0.91318,0.51645,1.53352,1.03181,1.45773,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,1170.46,1.30115,0.97285,1.34343,0.90331,0.80508,0.91502,0.51497,1.53178,1.01461,1.45554,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1196.21,1.32361,1.05037,1.37932,0.90959,0.80508,0.91509,0.52631,1.52543,1.00595,1.45089,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,1223.35,1.28019,0.98856,1.34511,0.95059,0.77966,0.92118,0.51906,1.53102,1.00071,1.45173,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,1247.44,1.26661,0.97373,1.31191,0.949,0.78854,0.91437,0.51705,1.53782,1.00154,1.45477,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1274.45,1.21713,0.95988,1.31025,0.94903,0.7889,0.91604,0.51143,1.54881,1.00314,1.46117,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1300.28,1.28119,0.99341,1.33281,0.93924,0.78599,0.91792,0.50811,1.53032,0.99021,1.44392,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1325.79,1.3246,1.03935,1.40651,0.96111,0.77966,0.91497,0.51521,1.52396,0.9866,1.43746,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1350.99,1.32084,0.97799,1.37713,0.96322,0.78814,0.91377,0.5103,1.52097,0.98874,1.43429,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1375.86,1.3052,1.00513,1.31415,0.96808,0.77113,0.91535,0.51179,1.50616,0.98934,1.42347,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1400.62,1.25409,0.99658,1.33278,0.94024,0.79661,0.91635,0.51481,1.50459,0.98041,1.42202,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,1425.62,1.17826,1.04973,1.28841,0.94004,0.79717,0.91409,0.51339,1.50549,0.98057,1.43112,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
