epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.1789,2.88899,3.55753,2.27792,0.00846,0.15942,0.00493,0.00176,2.31568,3.61381,2.07134,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012
2,26.8872,2.67151,3.54,2.0789,0.0141,0.2657,0.01008,0.00356,2.13427,3.55695,1.88197,0.000772278,0.000257426,0.000772278,0.000257426,0.000772278,0.000257426,0.000772278,0.000257426
3,39.2509,2.32307,3.37053,1.83093,0.01769,0.33333,0.0153,0.00633,2.06977,3.48513,1.75898,0.00117624,0.00039208,0.00117624,0.00039208,0.00117624,0.00039208,0.00117624,0.00039208
4,51.2139,2.26995,3.24245,1.75415,0.02205,0.41546,0.02123,0.00849,2.04247,3.41671,1.69152,0.00157189,0.000523962,0.00157189,0.000523962,0.00157189,0.000523962,0.00157189,0.000523962
5,63.2971,2.16854,3.09593,1.66002,0.03282,0.61836,0.03879,0.01528,1.96167,3.31153,1.55564,0.00195922,0.000653072,0.00195922,0.000653072,0.00195922,0.000653072,0.00195922,0.000653072
6,75.1764,2.10135,2.86248,1.5953,0.03744,0.70531,0.04932,0.02182,1.8796,3.24418,1.48931,0.00233823,0.00077941,0.00233823,0.00077941,0.00233823,0.00077941,0.00233823,0.00077941
7,87.213,2.07997,2.57256,1.63978,0.03949,0.74396,0.06282,0.02865,1.85138,3.16474,1.48106,0.00270893,0.000902976,0.00270893,0.000902976,0.00270893,0.000902976,0.00270893,0.000902976
8,99.0806,2.13824,2.20315,1.62884,0.04128,0.77778,0.08443,0.03802,1.79117,3.06963,1.42631,0.00307131,0.00102377,0.00307131,0.00102377,0.00307131,0.00102377,0.00307131,0.00102377
9,111,2.04609,1.96445,1.59759,0.04359,0.82126,0.26888,0.1297,1.83894,2.82828,1.45062,0.00342538,0.00114179,0.00342538,0.00114179,0.00342538,0.00114179,0.00342538,0.00114179
10,122.975,2.07367,1.802,1.62106,0.9306,0.12959,0.41038,0.19261,1.8461,2.60302,1.46733,0.00377113,0.00125704,0.00377113,0.00125704,0.00377113,0.00125704,0.00377113,0.00125704
11,134.89,2.07677,1.6162,1.57948,0.87703,0.17874,0.50149,0.23071,1.88872,2.40517,1.47449,0.00410856,0.00136952,0.00410856,0.00136952,0.00410856,0.00136952,0.00410856,0.00136952
