epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3453,2.91827,3.60991,2.30225,0,0,0,0,2.42906,4.11452,1.8967,4e-05,4e-05,4e-05
2,22.0449,2.49148,3.51004,1.9797,0,0,0,0,2.15146,3.98546,1.75565,9.901e-05,9.901e-05,9.901e-05
3,33.7627,2.16931,3.22438,1.59837,0.01333,0.66667,0.01727,0.00697,1.97493,3.77006,1.48887,0.000156832,0.000156832,0.000156832
4,44.797,2.31277,2.97032,1.55238,0.01667,0.83333,0.03422,0.01031,1.9692,3.60363,1.37865,0.000213466,0.000213466,0.000213466
5,55.9471,2.17167,2.67674,1.50331,0.01333,0.66667,0.18027,0.02301,1.93067,3.60127,1.37453,0.000268912,0.000268912,0.000268912
6,66.978,2.16257,2.34856,1.48636,0.02,1,0.25553,0.03944,1.993,3.57499,1.38084,0.00032317,0.00032317,0.00032317
7,78.4457,2.18416,2.18344,1.43634,0.02,1,0.08046,0.02227,1.9986,3.55648,1.37342,0.00037624,0.00037624,0.00037624
8,89.7232,2.09752,1.94969,1.45004,0.02,1,0.35174,0.05118,2.06825,3.47484,1.37156,0.000428122,0.000428122,0.000428122
9,100.955,2.20403,1.84341,1.50651,0.02,1,0.16844,0.04621,1.96403,3.34942,1.28078,0.000478816,0.000478816,0.000478816
10,111.506,2.16099,1.77553,1.51395,0.01667,0.83333,0.16168,0.03672,2.16248,3.29973,1.25475,0.000528322,0.000528322,0.000528322
11,122.012,2.10858,1.61587,1.44738,0.02,1,0.07165,0.02263,2.04672,3.29978,1.25564,0.00057664,0.00057664,0.00057664
12,132.462,2.0775,1.57347,1.48619,0.02,1,0.07886,0.02533,2.1063,3.14752,1.22463,0.00062377,0.00062377,0.00062377
13,143.049,2.03891,1.50859,1.43267,0.02,1,0.37731,0.09409,2.0038,3.26845,1.32899,0.000669712,0.000669712,0.000669712
14,153.656,2.09562,1.4233,1.45114,0.01667,0.83333,0.5125,0.16712,1.93223,3.15692,1.26577,0.000714466,0.000714466,0.000714466
15,164.304,2.12838,1.48331,1.48235,0.02,1,0.34065,0.18224,2.03662,2.95226,1.28584,0.000758032,0.000758032,0.000758032
16,174.803,2.11297,1.41655,1.46215,0.01667,0.83333,0.47131,0.21132,2.08327,3.00291,1.32564,0.00080041,0.00080041,0.00080041
17,185.655,2.06974,1.51581,1.51065,0.02,1,0.17039,0.05664,2.1682,3.11993,1.50321,0.0008416,0.0008416,0.0008416
18,196.18,1.95918,1.46378,1.47518,0.02,1,0.33376,0.13365,1.95312,2.9415,1.27508,0.000881602,0.000881602,0.000881602
19,206.599,2.03914,1.53932,1.51512,0.01667,0.83333,0.61778,0.24377,1.89214,2.89164,1.2562,0.000920416,0.000920416,0.000920416
20,217.162,2.01077,1.43173,1.43512,0.02,1,0.5062,0.14138,1.91463,3.04686,1.41054,0.000958042,0.000958042,0.000958042
21,227.781,1.96611,1.39681,1.45329,0.02,1,0.62909,0.22285,1.84381,2.92344,1.32997,0.00099448,0.00099448,0.00099448
22,238.336,1.92885,1.45466,1.45288,0.47417,0.83333,0.66994,0.27704,1.83738,2.71797,1.2695,0.00102973,0.00102973,0.00102973
23,248.89,1.93095,1.33218,1.39429,0.98826,0.66667,0.80667,0.45109,1.71223,2.51346,1.19803,0.00106379,0.00106379,0.00106379
