epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.68523,2.1543,3.08109,2.04137,0.02333,0.36,0.02559,0.01028,2.34124,3.16607,2.33434,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,12.1317,2.16793,3.13361,2.02656,0.02593,0.4,0.02979,0.01285,2.24075,3.13596,2.22811,0.00029703,9.901e-05,0.00029703,9.901e-05,0.00029703,9.901e-05,0.00029703,9.901e-05
3,17.3025,2.08055,3.12732,1.96846,0.02667,0.41143,0.03776,0.01714,2.08258,3.10335,2.11502,0.000470496,0.000156832,0.000470496,0.000156832,0.000470496,0.000156832,0.000470496,0.000156832
4,23.1287,2.06739,3.11537,1.93415,0.03,0.46286,0.05758,0.0293,1.91147,3.05598,1.98628,0.000640398,0.000213466,0.000640398,0.000213466,0.000640398,0.000213466,0.000640398,0.000213466
5,28.8574,1.98177,3.08687,1.88387,0.03111,0.48,0.07041,0.0354,1.77713,3.00428,1.8491,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912
6,34.2128,1.84225,2.97599,1.82424,0.03296,0.50857,0.09116,0.04785,1.70314,2.96289,1.77365,0.00096951,0.00032317,0.00096951,0.00032317,0.00096951,0.00032317,0.00096951,0.00032317
7,39.2528,1.77817,2.95505,1.73889,0.03667,0.56571,0.11746,0.05802,1.59455,2.91046,1.66855,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624
8,44.2461,1.72734,2.98955,1.70663,0.03815,0.58857,0.13283,0.06829,1.5436,2.88989,1.62173,0.00128437,0.000428122,0.00128437,0.000428122,0.00128437,0.000428122,0.00128437,0.000428122
9,49.3804,1.64985,2.94881,1.60429,0.03852,0.59429,0.18234,0.0941,1.45398,2.85232,1.54466,0.00143645,0.000478816,0.00143645,0.000478816,0.00143645,0.000478816,0.00143645,0.000478816
10,54.4961,1.64905,2.92572,1.61333,0.03852,0.59429,0.20088,0.10805,1.43277,2.83407,1.51897,0.00158497,0.000528322,0.00158497,0.000528322,0.00158497,0.000528322,0.00158497,0.000528322
11,59.5205,1.59274,2.85304,1.53819,0.04074,0.62857,0.25842,0.13806,1.35262,2.79399,1.42986,0.00172992,0.00057664,0.00172992,0.00057664,0.00172992,0.00057664,0.00172992,0.00057664
12,64.4818,1.55794,2.84062,1.51613,0.04074,0.62857,0.3017,0.16248,1.31822,2.77667,1.39669,0.00187131,0.00062377,0.00187131,0.00062377,0.00187131,0.00062377,0.00187131,0.00062377
13,69.5641,1.5057,2.84653,1.47937,0.04407,0.68,0.365,0.19091,1.27506,2.75585,1.35366,0.00200914,0.000669712,0.00200914,0.000669712,0.00200914,0.000669712,0.00200914,0.000669712
14,74.6467,1.43901,2.70462,1.43341,0.04481,0.69143,0.37901,0.19855,1.26041,2.7452,1.33938,0.0021434,0.000714466,0.0021434,0.000714466,0.0021434,0.000714466,0.0021434,0.000714466
15,79.7154,1.39809,2.67275,1.39533,0.04519,0.69714,0.4077,0.23399,1.24096,2.72072,1.31713,0.0022741,0.000758032,0.0022741,0.000758032,0.0022741,0.000758032,0.0022741,0.000758032
16,84.6581,1.37175,2.64662,1.37686,0.04593,0.70857,0.42466,0.23995,1.22064,2.70994,1.302,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041
17,89.9547,1.39815,2.61445,1.36167,0.04741,0.73143,0.44145,0.24947,1.20044,2.68645,1.28474,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,94.9626,1.34253,2.53274,1.32483,0.04889,0.75429,0.45134,0.26051,1.1843,2.66119,1.27772,0.00264481,0.000881602,0.00264481,0.000881602,0.00264481,0.000881602,0.00264481,0.000881602
19,99.9794,1.27805,2.4382,1.3126,0.04963,0.76571,0.47835,0.26847,1.18062,2.63939,1.27192,0.00276125,0.000920416,0.00276125,0.000920416,0.00276125,0.000920416,0.00276125,0.000920416
20,104.886,1.30392,2.39974,1.33241,0.05037,0.77714,0.49671,0.28263,1.17344,2.61455,1.26335,0.00287413,0.000958042,0.00287413,0.000958042,0.00287413,0.000958042,0.00287413,0.000958042
21,109.905,1.28224,2.32273,1.30631,0.05037,0.77714,0.50286,0.29467,1.17529,2.58802,1.26114,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448
22,114.922,1.21469,2.22992,1.25392,0.05037,0.77714,0.50671,0.30164,1.1707,2.5526,1.25935,0.00308919,0.00102973,0.00308919,0.00102973,0.00308919,0.00102973,0.00308919,0.00102973
23,119.915,1.24986,2.16943,1.29123,0.05111,0.78857,0.50388,0.29899,1.16702,2.50624,1.25966,0.00319138,0.00106379,0.00319138,0.00106379,0.00319138,0.00106379,0.00319138,0.00106379
24,124.812,1.18688,2.01228,1.27511,0.05222,0.80571,0.53514,0.31491,1.16077,2.44851,1.25639,0.00329,0.00109667,0.00329,0.00109667,0.00329,0.00109667,0.00329,0.00109667
